"id_cuenta_cliente","periodo_fiscal","onboarding_bonificado","horas_capacitacion_empleado","usuarios_licenciados","facturacion_anual_cliente"
418126,2024,1,48,50,6200000
418126,2025,0,3.75,48,6300000
418147,2023,0,0,15,726833
418147,2024,0,20,80,4005963
418147,2025,0,0,30,2089704
418163,2023,0,0,72,7742994
418163,2024,1,40,70,8273868
418163,2025,0,0,68,8329656
418168,2023,0,40,7,5449674
418168,2024,0,40,7,6131102
418168,2025,0,0,8,7332464
418177,2023,0,0,120,1e+07
418177,2024,1,26,120,1.2e+07
418177,2025,0,14,120,1.1e+07
418220,2023,0,0,19,580000
418220,2024,1,39,21,660000
418220,2025,0,0,30,984000
418225,2023,0,0,15,1300000
418225,2024,1,10,18,1600000
418225,2025,0,0,28,2300000
418229,2023,0,0,6,490000
418229,2024,0,0,7,580000
418229,2025,0,0,8,660000
418237,2023,0,0,28,4568907
418237,2024,1,6,28,4904008
418237,2025,0,1.37931036949158,29,5884603
418239,2023,0,5,80,6900000
418239,2024,0,7.692307472229,65,8400000
418239,2025,0,8,75,7100000
418245,2023,0,0,25,3e+06
418245,2024,0,0,30,4e+06
418245,2025,0,0,40,6e+06
419198,2023,0,19.764705657959,17,1083644
419198,2024,1,88,13,851605
419198,2025,0,6.22222232818604,9,885852
419201,2023,0,0,20,3499895
419201,2024,0,8.47058868408203,17,4008997
419201,2025,0,0,13,3379103
419242,2023,0,5.14285707473755,70,6400000
419242,2024,1,36,65,6800000
419242,2025,0,4,30,2100000
419268,2023,0,0,6,564694
419268,2024,0,0,6,620439
419268,2025,1,32,6,783261
419272,2023,0,10.2857141494751,35,4200000
419272,2024,0,2,40,4800000
419272,2025,1,80,43,5200000
419275,2023,0,26.6666660308838,15,930000
419275,2024,0,27.7777786254883,18,980000
419275,2025,1,71.4285736083984,21,1500000
419289,2023,0,0,13,1200000
419289,2024,0,0,14,1350000
419289,2025,1,72,15,1480000
419297,2023,0,33.3333320617676,150,22706650
419297,2024,0,13.4831457138062,178,30766010
419297,2025,0,4.67836236953735,171,28427980
419298,2023,0,0,80,1e+07
419298,2024,0,0,70,9e+06
419298,2025,1,36.9230766296387,65,9500000
419303,2023,0,0,6,875000
419303,2024,0,5,8,15850000
419303,2025,1,75,11,2250000
419307,2023,0,0,262,18050000
419307,2024,0,0.272727280855179,264,19270000
419307,2025,1,44,302,22220000
419309,2023,0,15,6,6e+05
419309,2024,0,20,9,750000
419309,2025,1,55,12,1e+06
419328,2023,0,0,27,2700000
419328,2024,0,0,27,2800000
419328,2025,1,12,27,2800000
419335,2023,0,0,57,8486927
419335,2024,0,7.54716968536377,53,4327519
419335,2025,0,3.22580647468567,62,8533205
419339,2023,0,0,40,8e+06
419339,2024,0,0,40,8500000
419339,2025,0,0,60,1e+07
419343,2023,0,3.5,100,1e+07
419343,2024,0,4.19999980926514,125,1.2e+07
419343,2025,1,17,290,4.8e+07
419357,2023,0,50,60,6870314
419357,2024,0,75,65,7079852
419357,2025,1,120,75,8040128
419376,2023,0,0.3125,32,6e+06
419376,2024,0,1.11111116409302,36,6100000
419376,2025,1,38,40,6300000
419378,2023,0,12.5,20,2700000
419378,2024,0,40.9090919494629,22,3100000
419378,2025,1,154,37,4700000
419380,2023,0,0,45,1e+07
419380,2024,0,0,50,1e+07
419380,2025,0,10,55,1.2e+07
419381,2023,0,4.2857141494751,14,1585000
419381,2024,0,0,11,1560000
419381,2025,1,50,12,1747000
419388,2023,0,0.5,40,2400000
419388,2024,0,1.66666662693024,36,2300000
419388,2025,1,18,33,2700000
419400,2023,0,56.6666679382324,6,373164
419400,2024,0,85,8,422611
419400,2025,0,75.5555572509766,9,390210
419401,2023,0,15.0967741012573,62,5e+06
419401,2024,0,12.6486482620239,74,6e+06
419401,2025,0,11.4146337509155,82,8e+06
419409,2023,0,10.6666669845581,75,8450000
419409,2024,0,26,72,10298000
419409,2025,1,60,75,10155000
419420,2023,0,0,19,1980000
419420,2024,0,0,15,1600000
419420,2025,1,80,12,1430000
419433,2023,0,10.5263156890869,19,1700000
419433,2024,0,15,19,2e+06
419433,2025,1,25.6666660308838,21,2200000
419434,2023,0,0,89,11380000
419434,2024,0,0,59,4748000
419434,2025,0,10,105,7175000
419449,2023,0,30,40,3317000
419449,2024,0,30,55,3692000
419449,2025,0,6.92307710647583,65,3252000
419450,2023,0,0,175,12500000
419450,2024,0,0,225,12500000
419450,2025,0,2.18181824684143,275,18200000
419459,2023,0,6.36363649368286,110,15100000
419459,2024,0,6.40000009536743,125,1.6e+07
419459,2025,0,14.222222328186,225,28900000
419467,2023,0,80,4,1494764
419467,2024,0,100,5,2566104
419467,2025,0,100,10,2191680
419483,2023,0,0,133,1.1e+07
419483,2024,0,0,108,11500000
419483,2025,0,3.10077524185181,129,1.2e+07
419486,2023,0,0,80,7e+06
419486,2024,0,0,90,8500000
419486,2025,1,36,100,9900000
